"npp","campagne","a","sfgui","xl","yl","croissance_5ans","ser_86","greco","ess","age13","age_1","zp","c13","reserutile","rmoy","tmoy","txmoy","tnmoy","u_tauxguit","u_txguiabiet","u_txguiaustr","u_txguialbum","wac","poids","is_gui","ssp_gui","poids_models","poids_models_tweak","sfgui_factor","npp_factor","wc2.1_30s_bio_3","wc2.1_30s_bio_6","wc2.1_30s_bio_7","wc2.1_30s_bio_18","troph_r","hydr_r","dens_tiges","div_rg1","div_rg1_factor","ess_factor"
"14-04-316-1-208T",2014,8,0,939200,1877600,4.47545014321804,"H30","H",52,NA,105,1188,0.92,26.9999980926514,1033.2,9.45,15.6,3.3,3,"X ","3 ","X ",39.2871180640221,1,"Sain","austriacum",39.2871180640221,83.9517120118429,"0","14-04-316-1-208T",34.8515510559082,-1.89999997615814,24.6999988555908,154,6.25712,7.63521,1247.44568804824,1,"1","52"
"14-04-316-1-208T",2014,11,0,939200,1877600,4.69999993219972,"H30","H",52,123,105,1188,1.01,26.9999980926514,1033.2,9.45,15.6,3.3,3,"X ","3 ","X ",39.2849846920273,1,"Sain","austriacum",39.2849846920273,83.9471532597596,"0","14-04-316-1-208T",34.8515510559082,-1.89999997615814,24.6999988555908,154,6.25712,7.63521,1247.44568804824,1,"1","52"
"14-04-316-1-208T",2014,12,0,939200,1877600,2.89999996311963,"H30","H",52,73,105,1188,0.74,26.9999980926514,1033.2,9.45,15.6,3.3,3,"X ","3 ","X ",39.2907884494257,1,"Sain","austriacum",39.2907884494257,83.9595551714728,"0","14-04-316-1-208T",34.8515510559082,-1.89999997615814,24.6999988555908,154,6.25712,7.63521,1247.44568804824,1,"1","52"
"14-04-316-1-208T",2014,10,0,939200,1877600,4.4241501018405,"H30","H",52,NA,105,1188,0.9,26.9999980926514,1033.2,9.45,15.6,3.3,3,"X ","3 ","X ",39.2875651568306,1,"Sain","austriacum",39.2875651568306,83.9526673938753,"0","14-04-316-1-208T",34.8515510559082,-1.89999997615814,24.6999988555908,154,6.25712,7.63521,1247.44568804824,1,"1","52"
"14-04-316-1-208T",2014,19,2,939200,1877600,4.96189994737506,"H30","H",52,NA,105,1188,1.12,26.9999980926514,1033.2,9.45,15.6,3.3,3,"X ","3 ","X ",39.2821074006313,1,"Parasité","austriacum",39.2821074006313,83.9410048439288,"2","14-04-316-1-208T",34.8515510559082,-1.89999997615814,24.6999988555908,154,6.25712,7.63521,1247.44568804824,1,"1","52"
"14-04-316-1-208T",2014,18,0,939200,1877600,2.8586199041456,"H30","H",52,NA,105,1188,0.72,26.9999980926514,1033.2,9.45,15.6,3.3,3,"X ","3 ","X ",39.2911471714465,1,"Sain","austriacum",39.2911471714465,83.9603217160622,"0","14-04-316-1-208T",34.8515510559082,-1.89999997615814,24.6999988555908,154,6.25712,7.63521,1247.44568804824,1,"1","52"
"14-68-274-1-062T",2014,7,1,960200,2357600,13.7999998405576,"D11","D",61,95,94.5,658,1.5,40,1058.1,9.5,13.6,5.4,2,"2 ","0 ","X ",14.1435234562693,1,"Parasité","abietis",14.1435234562693,30.2229602613897,"1","14-68-274-1-062T",31.6312065124512,-2.59999990463257,23.5,289,4.05778,3.32713,916.176280232211,1,"1","61"
"14-05-300-1-188T",2014,13,0,911200,1953600,9.60000045597553,"H30","H",52,45,52.5,1218,0.72,136.5,906.9,8.3,13.2,3.4,3,"X ","3 ","X ",39.2911471714465,1,"Sain","austriacum",39.2911471714465,83.9603217160622,"0","14-05-300-1-188T",35.691822052002,-3.59999990463257,26.5,205,9.60235,7.70403,1434.08994594427,1,"1","52"
"14-68-274-1-062T",2014,27,0,960200,2357600,6.09999988228083,"D11","D",61,76,94.5,658,1.43,40,1058.1,9.5,13.6,5.4,2,"2 ","0 ","X ",14.1438499549039,1,"Sain","abietis",14.1438499549039,30.2236579485883,"0","14-68-274-1-062T",31.6312065124512,-2.59999990463257,23.5,289,4.05778,3.32713,916.176280232211,1,"1","61"
"14-68-274-1-062T",2014,16,0,960200,2357600,5.66578982397914,"D11","D",61,NA,94.5,658,1.04,40,1058.1,9.5,13.6,5.4,2,"2 ","0 ","X ",39.2842294091237,1,"Sain","abietis",39.2842294091237,83.945539313613,"0","14-68-274-1-062T",31.6312065124512,-2.59999990463257,23.5,289,4.05778,3.32713,916.176280232211,1,"1","61"
"14-68-274-1-062T",2014,13,0,960200,2357600,4.27363021299243,"D11","D",61,NA,94.5,658,0.74,40,1058.1,9.5,13.6,5.4,2,"2 ","0 ","X ",39.2907884494257,1,"Sain","abietis",39.2907884494257,83.9595551714728,"0","14-68-274-1-062T",31.6312065124512,-2.59999990463257,23.5,289,4.05778,3.32713,916.176280232211,1,"1","61"
"14-05-300-1-188T",2014,20,0,911200,1953600,9.52982995659113,"H30","H",52,NA,52.5,1218,0.71,136.5,906.9,8.3,13.2,3.4,3,"X ","3 ","X ",39.2913228503895,1,"Sain","austriacum",39.2913228503895,83.9606971202342,"0","14-05-300-1-188T",35.691822052002,-3.59999990463257,26.5,205,9.60235,7.70403,1434.08994594427,1,"1","52"
"14-68-274-1-062T",2014,18,0,960200,2357600,5.28840022161603,"D11","D",61,NA,94.5,658,1.21,40,1058.1,9.5,13.6,5.4,2,"2 ","0 ","X ",14.1447746109943,1,"Sain","abietis",14.1447746109943,30.2256338242859,"0","14-68-274-1-062T",31.6312065124512,-2.59999990463257,23.5,289,4.05778,3.32713,916.176280232211,1,"1","61"
"14-05-300-1-188T",2014,5,1,911200,1953600,4.99999988824129,"H30","H",52,46,52.5,1218,0.92,136.5,906.9,8.3,13.2,3.4,3,"X ","3 ","X ",39.2871180640221,1,"Parasité","austriacum",39.2871180640221,83.9517120118429,"1","14-05-300-1-188T",35.691822052002,-3.59999990463257,26.5,205,9.60235,7.70403,1434.08994594427,1,"1","52"
"14-68-274-1-062T",2014,20,1,960200,2357600,6.09999988228083,"D11","D",61,NA,94.5,658,1.43,40,1058.1,9.5,13.6,5.4,2,"2 ","0 ","X ",14.1438499549039,1,"Parasité","abietis",14.1438499549039,30.2236579485883,"1","14-68-274-1-062T",31.6312065124512,-2.59999990463257,23.5,289,4.05778,3.32713,916.176280232211,1,"1","61"
"14-68-274-1-062T",2014,21,0,960200,2357600,4.3691098690033,"D11","D",61,NA,94.5,658,0.76,40,1058.1,9.5,13.6,5.4,2,"2 ","0 ","X ",39.2904199062357,1,"Sain","abietis",39.2904199062357,83.9587676402597,"0","14-68-274-1-062T",31.6312065124512,-2.59999990463257,23.5,289,4.05778,3.32713,916.176280232211,1,"1","61"
"14-05-300-1-188T",2014,10,0,911200,1953600,9.60000045597553,"H30","H",52,NA,52.5,1218,0.72,136.5,906.9,8.3,13.2,3.4,3,"X ","3 ","X ",39.2911471714465,1,"Sain","austriacum",39.2911471714465,83.9603217160622,"0","14-05-300-1-188T",35.691822052002,-3.59999990463257,26.5,205,9.60235,7.70403,1434.08994594427,1,"1","52"
"14-68-274-1-062T",2014,1,0,960200,2357600,4.65303007513285,"D11","D",61,NA,94.5,658,0.82,40,1058.1,9.5,13.6,5.4,2,"2 ","0 ","X ",39.2892553540523,1,"Sain","abietis",39.2892553540523,83.9562791362833,"0","14-68-274-1-062T",31.6312065124512,-2.59999990463257,23.5,289,4.05778,3.32713,916.176280232211,1,"1","61"
"14-68-274-1-062T",2014,6,0,960200,2357600,5.95386978238821,"D11","D",61,NA,94.5,658,1.39,40,1058.1,9.5,13.6,5.4,2,"2 ","0 ","X ",14.1440295273118,1,"Sain","abietis",14.1440295273118,30.2240416726133,"0","14-68-274-1-062T",31.6312065124512,-2.59999990463257,23.5,289,4.05778,3.32713,916.176280232211,1,"1","61"
"14-06-324-1-202T",2014,4,1,969200,1887600,2.0000000949949,"H30","H",52,NA,42.5,661,1.05,32.3999977111816,977.1,12.5,18.3,6.7,3,"X ","3 ","X ",39.2839727423629,1,"Parasité","austriacum",39.2839727423629,83.9449908484914,"1","14-06-324-1-202T",33.966667175293,0.200000002980232,25,123,9.78295,7.70081,2455.73296341519,1,"1","52"
"14-68-274-1-062T",2014,8,0,960200,2357600,5.53003000095487,"D11","D",61,NA,94.5,658,1.01,40,1058.1,9.5,13.6,5.4,2,"2 ","0 ","X ",39.2849846920273,1,"Sain","abietis",39.2849846920273,83.9471532597596,"0","14-68-274-1-062T",31.6312065124512,-2.59999990463257,23.5,289,4.05778,3.32713,916.176280232211,1,"1","61"
